test_case_id,provider,instrument,input_system,O,C,E,A,N,profile_label,total_score,factor_scores,questions_answered,questions_total
10420,claude,phq3_a,behavioral,100,50,50,50,100,high_O_high_N,88.89,"{""affect"": 88.88888888888889}",3,3
10456,deepseek,phq3_a,behavioral,100,50,50,50,100,high_O_high_N,77.78,"{""affect"": 77.77777777777779}",3,3
10474,gemini,phq3_a,behavioral,100,50,50,50,100,high_O_high_N,88.89,"{""affect"": 88.88888888888889}",3,3
10438,openai,phq3_a,behavioral,100,50,50,50,100,high_O_high_N,100.0,"{""affect"": 100.0}",3,3
10276,claude,phq3_a,behavioral,100,50,50,50,0,high_O_low_N,0.0,"{""affect"": 0.0}",3,3
10312,deepseek,phq3_a,behavioral,100,50,50,50,0,high_O_low_N,0.0,"{""affect"": 0.0}",3,3
10330,gemini,phq3_a,behavioral,100,50,50,50,0,high_O_low_N,11.11,"{""affect"": 11.11111111111111}",3,3
10294,openai,phq3_a,behavioral,100,50,50,50,0,high_O_low_N,0.0,"{""affect"": 0.0}",3,3
10708,claude,phq3_a,behavioral,100,50,50,50,50,high_O_mid_N,33.33,"{""affect"": 33.33333333333333}",3,3
10744,deepseek,phq3_a,behavioral,100,50,50,50,50,high_O_mid_N,33.33,"{""affect"": 33.33333333333333}",3,3
10762,gemini,phq3_a,behavioral,100,50,50,50,50,high_O_mid_N,44.44,"{""affect"": 44.44444444444444}",3,3
10726,openai,phq3_a,behavioral,100,50,50,50,50,high_O_mid_N,33.33,"{""affect"": 33.33333333333333}",3,3
10348,claude,phq3_a,behavioral,0,50,50,50,100,low_O_high_N,100.0,"{""affect"": 100.0}",3,3
10384,deepseek,phq3_a,behavioral,0,50,50,50,100,low_O_high_N,100.0,"{""affect"": 100.0}",3,3
10402,gemini,phq3_a,behavioral,0,50,50,50,100,low_O_high_N,88.89,"{""affect"": 88.88888888888889}",3,3
10366,openai,phq3_a,behavioral,0,50,50,50,100,low_O_high_N,100.0,"{""affect"": 100.0}",3,3
10492,claude,phq3_a,behavioral,0,50,50,50,0,low_O_low_N,0.0,"{""affect"": 0.0}",3,3
10528,deepseek,phq3_a,behavioral,0,50,50,50,0,low_O_low_N,0.0,"{""affect"": 0.0}",3,3
10546,gemini,phq3_a,behavioral,0,50,50,50,0,low_O_low_N,11.11,"{""affect"": 11.11111111111111}",3,3
10510,openai,phq3_a,behavioral,0,50,50,50,0,low_O_low_N,0.0,"{""affect"": 0.0}",3,3
10780,claude,phq3_a,behavioral,0,50,50,50,50,low_O_mid_N,44.44,"{""affect"": 44.44444444444444}",3,3
10816,deepseek,phq3_a,behavioral,0,50,50,50,50,low_O_mid_N,33.33,"{""affect"": 33.33333333333333}",3,3
10834,gemini,phq3_a,behavioral,0,50,50,50,50,low_O_mid_N,44.44,"{""affect"": 44.44444444444444}",3,3
10798,openai,phq3_a,behavioral,0,50,50,50,50,low_O_mid_N,33.33,"{""affect"": 33.33333333333333}",3,3
10564,claude,phq3_a,behavioral,50,50,50,50,100,mid_O_high_N,88.89,"{""affect"": 88.88888888888889}",3,3
10600,deepseek,phq3_a,behavioral,50,50,50,50,100,mid_O_high_N,100.0,"{""affect"": 100.0}",3,3
10618,gemini,phq3_a,behavioral,50,50,50,50,100,mid_O_high_N,88.89,"{""affect"": 88.88888888888889}",3,3
10582,openai,phq3_a,behavioral,50,50,50,50,100,mid_O_high_N,100.0,"{""affect"": 100.0}",3,3
10636,claude,phq3_a,behavioral,50,50,50,50,0,mid_O_low_N,0.0,"{""affect"": 0.0}",3,3
10672,deepseek,phq3_a,behavioral,50,50,50,50,0,mid_O_low_N,0.0,"{""affect"": 0.0}",3,3
10690,gemini,phq3_a,behavioral,50,50,50,50,0,mid_O_low_N,11.11,"{""affect"": 11.11111111111111}",3,3
10654,openai,phq3_a,behavioral,50,50,50,50,0,mid_O_low_N,0.0,"{""affect"": 0.0}",3,3
10852,claude,phq3_a,behavioral,50,50,50,50,50,mid_O_mid_N,44.44,"{""affect"": 44.44444444444444}",3,3
10888,deepseek,phq3_a,behavioral,50,50,50,50,50,mid_O_mid_N,33.33,"{""affect"": 33.33333333333333}",3,3
10906,gemini,phq3_a,behavioral,50,50,50,50,50,mid_O_mid_N,44.44,"{""affect"": 44.44444444444444}",3,3
10870,openai,phq3_a,behavioral,50,50,50,50,50,mid_O_mid_N,33.33,"{""affect"": 33.33333333333333}",3,3
10422,claude,phq3_a,exemplar,100,50,50,50,100,high_O_high_N,100.0,"{""affect"": 100.0}",3,3
10458,deepseek,phq3_a,exemplar,100,50,50,50,100,high_O_high_N,100.0,"{""affect"": 100.0}",3,3
10476,gemini,phq3_a,exemplar,100,50,50,50,100,high_O_high_N,100.0,"{""affect"": 100.0}",3,3
10440,openai,phq3_a,exemplar,100,50,50,50,100,high_O_high_N,100.0,"{""affect"": 100.0}",3,3
10278,claude,phq3_a,exemplar,100,50,50,50,0,high_O_low_N,22.22,"{""affect"": 22.22222222222222}",3,3
10314,deepseek,phq3_a,exemplar,100,50,50,50,0,high_O_low_N,0.0,"{""affect"": 0.0}",3,3
10332,gemini,phq3_a,exemplar,100,50,50,50,0,high_O_low_N,11.11,"{""affect"": 11.11111111111111}",3,3
10296,openai,phq3_a,exemplar,100,50,50,50,0,high_O_low_N,11.11,"{""affect"": 11.11111111111111}",3,3
10710,claude,phq3_a,exemplar,100,50,50,50,50,high_O_mid_N,44.44,"{""affect"": 44.44444444444444}",3,3
10746,deepseek,phq3_a,exemplar,100,50,50,50,50,high_O_mid_N,44.44,"{""affect"": 44.44444444444444}",3,3
10764,gemini,phq3_a,exemplar,100,50,50,50,50,high_O_mid_N,11.11,"{""affect"": 11.11111111111111}",3,3
10728,openai,phq3_a,exemplar,100,50,50,50,50,high_O_mid_N,0.0,"{""affect"": 0.0}",3,3
10350,claude,phq3_a,exemplar,0,50,50,50,100,low_O_high_N,88.89,"{""affect"": 88.88888888888889}",3,3
10386,deepseek,phq3_a,exemplar,0,50,50,50,100,low_O_high_N,88.89,"{""affect"": 88.88888888888889}",3,3
10404,gemini,phq3_a,exemplar,0,50,50,50,100,low_O_high_N,88.89,"{""affect"": 88.88888888888889}",3,3
10368,openai,phq3_a,exemplar,0,50,50,50,100,low_O_high_N,77.78,"{""affect"": 77.77777777777779}",3,3
10494,claude,phq3_a,exemplar,0,50,50,50,0,low_O_low_N,0.0,"{""affect"": 0.0}",3,3
10530,deepseek,phq3_a,exemplar,0,50,50,50,0,low_O_low_N,0.0,"{""affect"": 0.0}",3,3
10548,gemini,phq3_a,exemplar,0,50,50,50,0,low_O_low_N,11.11,"{""affect"": 11.11111111111111}",3,3
10512,openai,phq3_a,exemplar,0,50,50,50,0,low_O_low_N,0.0,"{""affect"": 0.0}",3,3
10782,claude,phq3_a,exemplar,0,50,50,50,50,low_O_mid_N,22.22,"{""affect"": 22.22222222222222}",3,3
10818,deepseek,phq3_a,exemplar,0,50,50,50,50,low_O_mid_N,44.44,"{""affect"": 44.44444444444444}",3,3
10836,gemini,phq3_a,exemplar,0,50,50,50,50,low_O_mid_N,44.44,"{""affect"": 44.44444444444444}",3,3
10800,openai,phq3_a,exemplar,0,50,50,50,50,low_O_mid_N,33.33,"{""affect"": 33.33333333333333}",3,3
10566,claude,phq3_a,exemplar,50,50,50,50,100,mid_O_high_N,100.0,"{""affect"": 100.0}",3,3
10602,deepseek,phq3_a,exemplar,50,50,50,50,100,mid_O_high_N,100.0,"{""affect"": 100.0}",3,3
10620,gemini,phq3_a,exemplar,50,50,50,50,100,mid_O_high_N,100.0,"{""affect"": 100.0}",3,3
10584,openai,phq3_a,exemplar,50,50,50,50,100,mid_O_high_N,100.0,"{""affect"": 100.0}",3,3
10638,claude,phq3_a,exemplar,50,50,50,50,0,mid_O_low_N,11.11,"{""affect"": 11.11111111111111}",3,3
10674,deepseek,phq3_a,exemplar,50,50,50,50,0,mid_O_low_N,0.0,"{""affect"": 0.0}",3,3
10692,gemini,phq3_a,exemplar,50,50,50,50,0,mid_O_low_N,11.11,"{""affect"": 11.11111111111111}",3,3
10656,openai,phq3_a,exemplar,50,50,50,50,0,mid_O_low_N,0.0,"{""affect"": 0.0}",3,3
10854,claude,phq3_a,exemplar,50,50,50,50,50,mid_O_mid_N,22.22,"{""affect"": 22.22222222222222}",3,3
10890,deepseek,phq3_a,exemplar,50,50,50,50,50,mid_O_mid_N,44.44,"{""affect"": 44.44444444444444}",3,3
10908,gemini,phq3_a,exemplar,50,50,50,50,50,mid_O_mid_N,44.44,"{""affect"": 44.44444444444444}",3,3
10872,openai,phq3_a,exemplar,50,50,50,50,50,mid_O_mid_N,33.33,"{""affect"": 33.33333333333333}",3,3
10419,claude,phq3_a,hexaco,100,50,50,50,100,high_O_high_N,66.67,"{""affect"": 66.66666666666666}",3,3
10455,deepseek,phq3_a,hexaco,100,50,50,50,100,high_O_high_N,66.67,"{""affect"": 66.66666666666666}",3,3
10473,gemini,phq3_a,hexaco,100,50,50,50,100,high_O_high_N,77.78,"{""affect"": 77.77777777777779}",3,3
10437,openai,phq3_a,hexaco,100,50,50,50,100,high_O_high_N,100.0,"{""affect"": 100.0}",3,3
10275,claude,phq3_a,hexaco,100,50,50,50,0,high_O_low_N,11.11,"{""affect"": 11.11111111111111}",3,3
10311,deepseek,phq3_a,hexaco,100,50,50,50,0,high_O_low_N,0.0,"{""affect"": 0.0}",3,3
10329,gemini,phq3_a,hexaco,100,50,50,50,0,high_O_low_N,0.0,"{""affect"": 0.0}",3,3
10293,openai,phq3_a,hexaco,100,50,50,50,0,high_O_low_N,0.0,"{""affect"": 0.0}",3,3
10707,claude,phq3_a,hexaco,100,50,50,50,50,high_O_mid_N,22.22,"{""affect"": 22.22222222222222}",3,3
10743,deepseek,phq3_a,hexaco,100,50,50,50,50,high_O_mid_N,33.33,"{""affect"": 33.33333333333333}",3,3
