test_case_id,provider,instrument,input_system,O,C,E,A,N,profile_label,total_score,factor_scores,questions_answered,questions_total
9215,claude,bfi,behavioral,100,100,100,100,100,all_maximum,100.0,"{""extraversion"": 100.0, ""agreeableness"": 100.0, ""conscientiousness"": 100.0, ""neuroticism"": 100.0, ""openness"": 100.0}",44,44
9253,deepseek,bfi,behavioral,100,100,100,100,100,all_maximum,100.0,"{""extraversion"": 100.0, ""agreeableness"": 100.0, ""conscientiousness"": 100.0, ""neuroticism"": 100.0, ""openness"": 100.0}",44,44
9272,gemini,bfi,behavioral,100,100,100,100,100,all_maximum,100.0,"{""extraversion"": 100.0, ""agreeableness"": 100.0, ""conscientiousness"": 100.0, ""neuroticism"": 100.0, ""openness"": 100.0}",44,44
9234,openai,bfi,behavioral,100,100,100,100,100,all_maximum,98.75,"{""extraversion"": 96.875, ""agreeableness"": 100.0, ""conscientiousness"": 100.0, ""neuroticism"": 96.875, ""openness"": 100.0}",44,44
9214,claude,bfi,behavioral,0,0,0,0,0,all_minimum,4.93,"{""extraversion"": 21.875, ""agreeableness"": 2.777777777777779, ""conscientiousness"": 0.0, ""neuroticism"": 0.0, ""openness"": 0.0}",44,44
9252,deepseek,bfi,behavioral,0,0,0,0,0,all_minimum,2.5,"{""extraversion"": 12.5, ""agreeableness"": 0.0, ""conscientiousness"": 0.0, ""neuroticism"": 0.0, ""openness"": 0.0}",44,44
9271,gemini,bfi,behavioral,0,0,0,0,0,all_minimum,3.13,"{""extraversion"": 15.625, ""agreeableness"": 0.0, ""conscientiousness"": 0.0, ""neuroticism"": 0.0, ""openness"": 0.0}",44,44
9233,openai,bfi,behavioral,0,0,0,0,0,all_minimum,8.56,"{""extraversion"": 25.0, ""agreeableness"": 0.0, ""conscientiousness"": 2.777777777777779, ""neuroticism"": 0.0, ""openness"": 15.000000000000002}",44,44
9206,claude,bfi,behavioral,50,75,100,75,50,high_A_high_C_high_E,70.0,"{""extraversion"": 100.0, ""agreeableness"": 75.0, ""conscientiousness"": 75.0, ""neuroticism"": 50.0, ""openness"": 50.0}",44,44
9244,deepseek,bfi,behavioral,50,75,100,75,50,high_A_high_C_high_E,70.15,"{""extraversion"": 100.0, ""agreeableness"": 77.77777777777777, ""conscientiousness"": 86.11111111111111, ""neuroticism"": 34.375, ""openness"": 52.5}",44,44
9263,gemini,bfi,behavioral,50,75,100,75,50,high_A_high_C_high_E,76.29,"{""extraversion"": 100.0, ""agreeableness"": 94.44444444444444, ""conscientiousness"": 88.88888888888889, ""neuroticism"": 40.625, ""openness"": 57.49999999999999}",44,44
9225,openai,bfi,behavioral,50,75,100,75,50,high_A_high_C_high_E,76.5,"{""extraversion"": 100.0, ""agreeableness"": 100.0, ""conscientiousness"": 100.0, ""neuroticism"": 37.5, ""openness"": 44.99999999999999}",44,44
9205,claude,bfi,behavioral,50,75,0,75,50,high_A_high_C_low_E,52.01,"{""extraversion"": 15.625, ""agreeableness"": 72.22222222222221, ""conscientiousness"": 72.22222222222221, ""neuroticism"": 50.0, ""openness"": 50.0}",44,44
9243,deepseek,bfi,behavioral,50,75,0,75,50,high_A_high_C_low_E,50.75,"{""extraversion"": 9.375, ""agreeableness"": 75.0, ""conscientiousness"": 75.0, ""neuroticism"": 46.875, ""openness"": 47.5}",44,44
9262,gemini,bfi,behavioral,50,75,0,75,50,high_A_high_C_low_E,59.43,"{""extraversion"": 12.5, ""agreeableness"": 91.66666666666667, ""conscientiousness"": 86.11111111111111, ""neuroticism"": 46.875, ""openness"": 60.0}",44,44
9224,openai,bfi,behavioral,50,75,0,75,50,high_A_high_C_low_E,53.18,"{""extraversion"": 15.625, ""agreeableness"": 77.77777777777777, ""conscientiousness"": 75.0, ""neuroticism"": 50.0, ""openness"": 47.5}",44,44
9208,claude,bfi,behavioral,50,100,100,75,50,high_A_max_C_high_E,76.11,"{""extraversion"": 100.0, ""agreeableness"": 80.55555555555556, ""conscientiousness"": 100.0, ""neuroticism"": 50.0, ""openness"": 50.0}",44,44
9246,deepseek,bfi,behavioral,50,100,100,75,50,high_A_max_C_high_E,73.36,"{""extraversion"": 96.875, ""agreeableness"": 80.55555555555556, ""conscientiousness"": 100.0, ""neuroticism"": 34.375, ""openness"": 55.00000000000001}",44,44
9265,gemini,bfi,behavioral,50,100,100,75,50,high_A_max_C_high_E,80.94,"{""extraversion"": 100.0, ""agreeableness"": 97.22222222222223, ""conscientiousness"": 100.0, ""neuroticism"": 50.0, ""openness"": 57.49999999999999}",44,44
9227,openai,bfi,behavioral,50,100,100,75,50,high_A_max_C_high_E,75.26,"{""extraversion"": 100.0, ""agreeableness"": 94.44444444444444, ""conscientiousness"": 100.0, ""neuroticism"": 34.375, ""openness"": 47.5}",44,44
9207,claude,bfi,behavioral,50,100,0,75,50,high_A_max_C_low_E,57.57,"{""extraversion"": 15.625, ""agreeableness"": 72.22222222222221, ""conscientiousness"": 100.0, ""neuroticism"": 50.0, ""openness"": 50.0}",44,44
9245,deepseek,bfi,behavioral,50,100,0,75,50,high_A_max_C_low_E,53.44,"{""extraversion"": 9.375, ""agreeableness"": 75.0, ""conscientiousness"": 97.22222222222223, ""neuroticism"": 40.625, ""openness"": 44.99999999999999}",44,44
9264,gemini,bfi,behavioral,50,100,0,75,50,high_A_max_C_low_E,60.89,"{""extraversion"": 12.5, ""agreeableness"": 94.44444444444444, ""conscientiousness"": 100.0, ""neuroticism"": 50.0, ""openness"": 47.5}",44,44
9226,openai,bfi,behavioral,50,100,0,75,50,high_A_max_C_low_E,57.68,"{""extraversion"": 15.625, ""agreeableness"": 77.77777777777777, ""conscientiousness"": 100.0, ""neuroticism"": 50.0, ""openness"": 44.99999999999999}",44,44
9198,claude,bfi,behavioral,50,0,100,0,50,low_A_low_C_high_E,40.0,"{""extraversion"": 100.0, ""agreeableness"": 0.0, ""conscientiousness"": 0.0, ""neuroticism"": 50.0, ""openness"": 50.0}",44,44
